epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2156.9,0.878,0.83575,1.29644,0.90943,0.85034,0.91617,0.73537,0.79536,0.64247,1.19042,0.000754975,0.000754975,0.000754975
101,2178.44,0.89644,0.82993,1.30933,0.84726,0.87869,0.91131,0.75891,0.70474,0.63139,1.14781,0.0007525,0.0007525,0.0007525
102,2199.29,0.90438,0.85049,1.33286,0.89662,0.84235,0.90611,0.76376,0.68117,0.60817,1.12543,0.000750025,0.000750025,0.000750025
103,2220.88,0.88058,0.8595,1.30818,0.89002,0.84901,0.91073,0.76393,0.71807,0.63061,1.13822,0.00074755,0.00074755,0.00074755
104,2242.8,0.90183,0.84648,1.31973,0.89255,0.83864,0.92142,0.78388,0.69134,0.58294,1.12523,0.000745075,0.000745075,0.000745075
105,2263.94,0.89782,0.81647,1.3181,0.83967,0.89708,0.92601,0.7776,0.70716,0.57218,1.14306,0.0007426,0.0007426,0.0007426
106,2286.21,0.89044,0.81528,1.30636,0.87548,0.84451,0.91401,0.77489,0.70391,0.59472,1.13913,0.000740125,0.000740125,0.000740125
107,2308.04,0.90318,0.83421,1.31334,0.87756,0.82948,0.91533,0.77209,0.69085,0.61793,1.14246,0.00073765,0.00073765,0.00073765
108,2329.39,0.88598,0.81909,1.30837,0.88095,0.82275,0.90957,0.78234,0.69366,0.62298,1.12427,0.000735175,0.000735175,0.000735175
109,2351.57,0.87034,0.79777,1.29541,0.91629,0.87138,0.92335,0.79877,0.64723,0.57095,1.0886,0.0007327,0.0007327,0.0007327
110,2373.04,0.87259,0.82082,1.2986,0.90372,0.88071,0.91988,0.77372,0.69028,0.59174,1.12388,0.000730225,0.000730225,0.000730225
111,2394.76,0.89567,0.83223,1.30726,0.87951,0.85259,0.9117,0.77101,0.70468,0.61445,1.13613,0.00072775,0.00072775,0.00072775
112,2416.46,0.86751,0.80084,1.2953,0.89717,0.88511,0.91157,0.76784,0.70128,0.55502,1.13376,0.000725275,0.000725275,0.000725275
113,2437.2,0.8741,0.80996,1.30445,0.90135,0.84484,0.89868,0.74838,0.71373,0.62803,1.15522,0.0007228,0.0007228,0.0007228
114,2458.88,0.89402,0.82086,1.30967,0.87332,0.86199,0.91068,0.7471,0.73473,0.61365,1.1361,0.000720325,0.000720325,0.000720325
115,2480.17,0.87213,0.78856,1.29762,0.86906,0.85761,0.9007,0.76058,0.71215,0.63076,1.1487,0.00071785,0.00071785,0.00071785
116,2501.35,0.87188,0.79435,1.2865,0.87556,0.8857,0.92381,0.77153,0.73854,0.58778,1.15401,0.000715375,0.000715375,0.000715375
117,2523.04,0.85312,0.78666,1.28738,0.89748,0.87106,0.91441,0.77644,0.68476,0.6181,1.12074,0.0007129,0.0007129,0.0007129
118,2543.77,0.8757,0.78552,1.28817,0.87536,0.87284,0.91395,0.77893,0.69012,0.58918,1.1066,0.000710425,0.000710425,0.000710425
119,2565.51,0.8651,0.79476,1.29489,0.91371,0.85004,0.91113,0.7634,0.69702,0.58106,1.12971,0.00070795,0.00070795,0.00070795
120,2587.01,0.8792,0.78946,1.28965,0.86014,0.90317,0.92148,0.76288,0.7343,0.56426,1.15046,0.000705475,0.000705475,0.000705475
121,2608.14,0.88313,0.81231,1.30341,0.92282,0.86003,0.91372,0.75485,0.75814,0.59085,1.14156,0.000703,0.000703,0.000703
122,2629.63,0.86565,0.79506,1.29787,0.89374,0.84761,0.90882,0.77311,0.67699,0.59023,1.12012,0.000700525,0.000700525,0.000700525
123,2650.48,0.86435,0.78692,1.28512,0.86869,0.86845,0.91259,0.7665,0.70617,0.60304,1.11985,0.00069805,0.00069805,0.00069805
124,2672.06,0.87861,0.78292,1.29529,0.90948,0.8691,0.91318,0.771,0.6963,0.57494,1.11351,0.000695575,0.000695575,0.000695575
125,2693.49,0.87044,0.77629,1.2716,0.88981,0.87277,0.91839,0.77883,0.68326,0.55293,1.09538,0.0006931,0.0006931,0.0006931
126,2714.35,0.85826,0.78856,1.28856,0.88423,0.87352,0.92279,0.79949,0.65294,0.54384,1.09364,0.000690625,0.000690625,0.000690625
127,2736.1,0.88239,0.79448,1.29441,0.91476,0.85092,0.915,0.77581,0.6705,0.57525,1.1213,0.00068815,0.00068815,0.00068815
128,2757.12,0.85174,0.76935,1.28011,0.87029,0.88279,0.91024,0.76744,0.69556,0.60963,1.15285,0.000685675,0.000685675,0.000685675
129,2778.54,0.86348,0.78209,1.28818,0.89808,0.89325,0.92774,0.78484,0.69639,0.54999,1.14014,0.0006832,0.0006832,0.0006832
130,2800.06,0.85676,0.78241,1.28026,0.87132,0.83295,0.90964,0.75915,0.71185,0.62706,1.14461,0.000680725,0.000680725,0.000680725
131,2821.04,0.84935,0.76327,1.27989,0.89989,0.85578,0.91792,0.77037,0.70891,0.6028,1.14445,0.00067825,0.00067825,0.00067825
132,2842.78,0.87237,0.77426,1.28848,0.8824,0.87112,0.91858,0.77458,0.69794,0.57887,1.14871,0.000675775,0.000675775,0.000675775
133,2863.73,0.84114,0.78235,1.26692,0.89137,0.85801,0.9096,0.7606,0.71628,0.61231,1.13418,0.0006733,0.0006733,0.0006733
134,2885,0.8546,0.77021,1.27225,0.88862,0.87099,0.9164,0.77244,0.70199,0.59025,1.13788,0.000670825,0.000670825,0.000670825
135,2906.46,0.82371,0.74178,1.25188,0.88497,0.87976,0.91871,0.77389,0.69892,0.56403,1.12067,0.00066835,0.00066835,0.00066835
136,2927.44,0.85733,0.77731,1.2712,0.92036,0.87164,0.91816,0.78148,0.68095,0.56326,1.11695,0.000665875,0.000665875,0.000665875
137,2949.31,0.83124,0.739,1.26929,0.93111,0.84253,0.92586,0.77969,0.68614,0.55891,1.11213,0.0006634,0.0006634,0.0006634
138,2970.61,0.83505,0.72832,1.26258,0.88706,0.89608,0.92886,0.78504,0.68833,0.55083,1.11197,0.000660925,0.000660925,0.000660925
139,2992.05,0.8507,0.75682,1.289,0.91211,0.88457,0.92467,0.76683,0.74512,0.54782,1.1594,0.00065845,0.00065845,0.00065845
140,3014.65,0.84913,0.75267,1.27136,0.88773,0.90482,0.92111,0.78776,0.65363,0.55957,1.10592,0.000655975,0.000655975,0.000655975
141,3035.71,0.85023,0.74648,1.27632,0.90538,0.82715,0.90502,0.77814,0.66117,0.58343,1.11419,0.0006535,0.0006535,0.0006535
142,3057.54,0.83955,0.74514,1.27268,0.86592,0.87647,0.90412,0.76337,0.67998,0.60089,1.10298,0.000651025,0.000651025,0.000651025
143,3079.46,0.83812,0.77122,1.27733,0.8966,0.87711,0.9289,0.78232,0.70617,0.55473,1.12305,0.00064855,0.00064855,0.00064855
144,3100.29,0.83683,0.73699,1.26442,0.91639,0.8579,0.90955,0.78222,0.62945,0.56734,1.07463,0.000646075,0.000646075,0.000646075
145,3122.42,0.83766,0.74849,1.27203,0.92422,0.82395,0.9095,0.79353,0.64643,0.56738,1.08936,0.0006436,0.0006436,0.0006436
146,3144.3,0.82851,0.73457,1.25459,0.91234,0.86631,0.9029,0.77754,0.66056,0.58119,1.09251,0.000641125,0.000641125,0.000641125
147,3165.56,0.84546,0.73488,1.26466,0.90387,0.86232,0.91321,0.77719,0.67618,0.57993,1.13139,0.00063865,0.00063865,0.00063865
148,3187.39,0.83737,0.74634,1.271,0.90924,0.86173,0.91054,0.78274,0.66491,0.55948,1.10381,0.000636175,0.000636175,0.000636175
149,3208.25,0.83888,0.73223,1.27378,0.91473,0.84582,0.91758,0.78915,0.64382,0.56515,1.09659,0.0006337,0.0006337,0.0006337
150,3229.93,0.81855,0.72295,1.25295,0.8987,0.86275,0.92152,0.7761,0.68558,0.57279,1.1298,0.000631225,0.000631225,0.000631225
151,3252,0.84933,0.74996,1.27828,0.90916,0.85048,0.91456,0.77388,0.69941,0.57939,1.14194,0.00062875,0.00062875,0.00062875
152,3272.98,0.82318,0.713,1.26017,0.9101,0.88088,0.92943,0.79988,0.63742,0.5221,1.09552,0.000626275,0.000626275,0.000626275
153,3295.01,0.82238,0.72092,1.25485,0.88141,0.89819,0.92548,0.79385,0.64414,0.53314,1.08462,0.0006238,0.0006238,0.0006238
154,3316.44,0.81059,0.71752,1.24737,0.91657,0.86147,0.92737,0.80596,0.61127,0.5181,1.07567,0.000621325,0.000621325,0.000621325
155,3337.95,0.82486,0.71019,1.26823,0.89997,0.88181,0.93219,0.8034,0.64617,0.52436,1.09781,0.00061885,0.00061885,0.00061885
156,3359.98,0.82833,0.73842,1.26376,0.91617,0.87936,0.93202,0.79877,0.63573,0.52027,1.10574,0.000616375,0.000616375,0.000616375
157,3381.18,0.84007,0.72848,1.27738,0.91932,0.85471,0.93254,0.80214,0.65008,0.5227,1.11551,0.0006139,0.0006139,0.0006139
158,3403.07,0.8346,0.72814,1.26689,0.88794,0.84672,0.9138,0.78275,0.67015,0.57984,1.11056,0.000611425,0.000611425,0.000611425
159,3424.94,0.83691,0.74903,1.26648,0.87299,0.8765,0.92187,0.79489,0.66305,0.55073,1.12446,0.00060895,0.00060895,0.00060895
160,3446.22,0.81813,0.71059,1.25617,0.86104,0.87734,0.9118,0.78311,0.66871,0.57123,1.11227,0.000606475,0.000606475,0.000606475
161,3468.18,0.81467,0.70501,1.2457,0.93092,0.85685,0.93187,0.80309,0.67091,0.52977,1.10596,0.000604,0.000604,0.000604
162,3489.57,0.8152,0.69348,1.23952,0.94944,0.85144,0.92493,0.78758,0.66409,0.51879,1.11371,0.000601525,0.000601525,0.000601525
163,3510.9,0.80882,0.68712,1.24208,0.86251,0.88836,0.91276,0.77927,0.66915,0.53942,1.12058,0.00059905,0.00059905,0.00059905
164,3532.78,0.8182,0.69719,1.25861,0.9062,0.87556,0.92825,0.79402,0.64647,0.50819,1.0981,0.000596575,0.000596575,0.000596575
165,3553.6,0.80785,0.70037,1.24671,0.9237,0.86383,0.92665,0.79602,0.64016,0.50665,1.0906,0.0005941,0.0005941,0.0005941
166,3575.5,0.79813,0.69242,1.24578,0.93398,0.85032,0.92366,0.80013,0.65208,0.54943,1.10872,0.000591625,0.000591625,0.000591625
167,3597.2,0.77823,0.68631,1.22526,0.93477,0.85448,0.92412,0.80073,0.62494,0.51324,1.07778,0.00058915,0.00058915,0.00058915
168,3618.46,0.82545,0.73034,1.26152,0.92344,0.83732,0.92409,0.79978,0.63582,0.55328,1.09065,0.000586675,0.000586675,0.000586675
169,3640.22,0.79715,0.69445,1.24854,0.92102,0.85426,0.92367,0.79608,0.64002,0.5333,1.08602,0.0005842,0.0005842,0.0005842
170,3661.26,0.80402,0.68592,1.24382,0.92514,0.8297,0.9154,0.77006,0.68691,0.55109,1.10783,0.000581725,0.000581725,0.000581725
171,3683.07,0.79986,0.68364,1.23291,0.92414,0.84524,0.91602,0.76622,0.69329,0.56293,1.10761,0.00057925,0.00057925,0.00057925
172,3704.75,0.82613,0.69713,1.24699,0.91692,0.84849,0.92177,0.78168,0.6829,0.55585,1.12737,0.000576775,0.000576775,0.000576775
173,3725.6,0.80463,0.70136,1.24046,0.90885,0.8438,0.91513,0.79606,0.64529,0.57536,1.10464,0.0005743,0.0005743,0.0005743
174,3747.45,0.79479,0.67887,1.24379,0.92009,0.85283,0.91735,0.78188,0.6691,0.57248,1.13041,0.000571825,0.000571825,0.000571825
175,3768.49,0.80238,0.70269,1.23928,0.90144,0.86893,0.92336,0.80172,0.63389,0.56069,1.10208,0.00056935,0.00056935,0.00056935
176,3789.89,0.78588,0.68075,1.22732,0.90744,0.8765,0.93226,0.79471,0.65598,0.54281,1.11796,0.000566875,0.000566875,0.000566875
177,3811.52,0.80778,0.68401,1.25973,0.91908,0.87256,0.91663,0.78918,0.661,0.55524,1.1105,0.0005644,0.0005644,0.0005644
178,3832.15,0.80201,0.68172,1.2417,0.91632,0.86015,0.93087,0.79851,0.6657,0.51936,1.12227,0.000561925,0.000561925,0.000561925
179,3853.69,0.77556,0.66725,1.22887,0.91924,0.85432,0.92973,0.79051,0.66656,0.51205,1.1101,0.00055945,0.00055945,0.00055945
180,3875.12,0.78332,0.67599,1.24012,0.90126,0.86336,0.92815,0.79351,0.66002,0.53254,1.11813,0.000556975,0.000556975,0.000556975
181,3896.26,0.7772,0.69057,1.23107,0.88008,0.88547,0.92161,0.79081,0.66333,0.54867,1.12096,0.0005545,0.0005545,0.0005545
182,3918.19,0.78924,0.70374,1.24365,0.90377,0.88391,0.92994,0.798,0.65164,0.52834,1.10814,0.000552025,0.000552025,0.000552025
183,3939.1,0.78306,0.68384,1.24804,0.89472,0.87818,0.92202,0.79403,0.66059,0.54944,1.11802,0.00054955,0.00054955,0.00054955
